Genes,DisGeNET_Term,DisGeNET_Pvalue_Adjusted,GeDiPNet_Term,GeDiPNet_Pvalue_Adjusted,Orphanet_Term,Orphanet_Pvalue_Adjusted,Virus_Host_Term,Virus_Host_Pvalue_Adjusted,Host organism(s)_Intact,Confidence value(s)_Intact,Taxid interactor A_Intact,Taxid interactor B_Intact
SUSD4,Breast Carcinoma; Tumor Progression; Malignant neoplasm of breast,0.0042545616049287; 0.0149315928814189; 0.0191435238361999,,,,,,,,,,
TET1,Colorectal Carcinoma; Mammary Neoplasms; Ovarian Carcinoma; Breast Carcinoma; Invasive Ductal Breast Carcinoma; Colorectal Cancer; Stomach Carcinoma; Malignant neoplasm of breast; Malignant neoplasm of stomach; Carcinogenesis; Malignant neoplasm of ovary; Hematopoietic Neoplasms; Epithelial ovarian cancer,0.0034602840073026; 0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149002095788623; 0.0149315928814189; 0.0149315928814189; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991; 0.0277695594716545; 0.0334891258932371; 0.0387439397151409,,,,,,,,,,
TFAP4,Colorectal Carcinoma; Colorectal Cancer,0.0034602840073026; 0.0149315928814189,,,,,,,Homo sapiens HCT116 colon carcinoma cell;In vitro;yeasx,0.35;0.37;0.58,Homo sapiens,Homo sapiens
TGM2,"Colorectal Carcinoma; Mammary Neoplasms; Ovarian Carcinoma; Breast Carcinoma; Colorectal Cancer; Tumor Progression; Stomach Carcinoma; melanoma; Adenocarcinoma; Proliferative vitreoretinopathy; Squamous cell carcinoma; Esophageal Neoplasms; ovarian neoplasm; Malignant neoplasm of breast; Fibrosarcoma; Malignant neoplasm of stomach; Carcinogenesis; Malignant neoplasm of esophagus; Malignant neoplasm of ovary; Epithelial ovarian cancer; Brain Tumor, Primary",0.0034602840073026; 0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0155921563748247; 0.0182265588252201; 0.0182265588252201; 0.0182265588252201; 0.0191435238361999; 0.0191435238361999; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991; 0.0248454592431097; 0.0277695594716545; 0.0387439397151409; 0.044151975756427,Breast Carcinoma; Esophagus Neoplasm; Marfan Syndrome; Mammary Neoplasms; Breast Cancer,0.0075861267486594; 0.0102679590519094; 0.0133304506157067; 0.0155248163763686; 0.0402286636010764,"Hereditary arterial and articular multiple calcification syndrome ORPHA:289601; Autosomal recessive brachyolmia ORPHA:448242; Congenital plasminogen activator inhibitor type 1 deficiency ORPHA:465; Familial drusen ORPHA:75376; PPARG-related familial partial lipodystrophy ORPHA:79083; Primary CD59 deficiency ORPHA:169464; RIN2 syndrome ORPHA:217335; Spondyloepimetaphyseal dysplasia, PAPSS2 type ORPHA:93282",0.00518481975049; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883,,,Homo sapiens HLMVEC lung microvascular endothelial cell;In vitro;yeasx,0.35;0.37;0.44;0.76,Homo sapiens;chemical synthesis,Homo sapiens;chemical synthesis
THBS1,Colorectal Carcinoma; Mammary Neoplasms; Ovarian Carcinoma; Breast Carcinoma; Invasive carcinoma of breast; Invasive Ductal Breast Carcinoma; Colorectal Cancer; Tumor Progression; Stomach Carcinoma; melanoma; Adenocarcinoma; Squamous cell carcinoma; Malignant neoplasm of breast; Fibrosarcoma; Malignant neoplasm of stomach; Carcinogenesis; Malignant neoplasm of ovary; Medulloblastoma; Epithelial ovarian cancer; Skin carcinoma; Cancer of Urinary Tract,0.0034602840073026; 0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149002095788623; 0.0149002095788623; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0155921563748247; 0.0182265588252201; 0.0191435238361999; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991; 0.0277695594716545; 0.0354767239335874; 0.0387439397151409; 0.0482468351695405; 0.0492766532827251,Breast Carcinoma; Marfan Syndrome; Mammary Neoplasms; Breast Cancer,0.0075861267486594; 0.0133304506157067; 0.0155248163763686; 0.0402286636010764,"Hereditary arterial and articular multiple calcification syndrome ORPHA:289601; Auriculocondylar syndrome ORPHA:137888; Benign recurrent intrahepatic cholestasis type 1 ORPHA:99960; Chondrosarcoma ORPHA:55880; Congenital short bowel syndrome ORPHA:2301; Autosomal recessive brachyolmia ORPHA:448242; Congenital plasminogen activator inhibitor type 1 deficiency ORPHA:465; RIN2 syndrome ORPHA:217335; Spondyloepimetaphyseal dysplasia, PAPSS2 type ORPHA:93282; Familial primary localized cutaneous amyloidosis ORPHA:353220; Trichorhinophalangeal syndrome type 2 ORPHA:502",0.00518481975049; 0.00518481975049; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883,,,Homo sapiens HLMVEC lung microvascular endothelial cell;Homo sapiens blood plasma;In vitro;Saccharomyces cerevisiae,0.35;0.37;0.44;0.61;0.7,Homo sapiens;chemical synthesis;staa8,Homo sapiens;chemical synthesis;hcvco
TIMP2,Colorectal Carcinoma; Mammary Neoplasms; Ovarian Carcinoma; Breast Carcinoma; Invasive carcinoma of breast; Epithelioma; Colorectal Cancer; Stomach Carcinoma; Retroviridae Infections; melanoma; Adenocarcinoma; Squamous cell carcinoma; Esophageal Neoplasms; Malignant mesothelioma; ovarian neoplasm; Malignant neoplasm of breast; Fibrosarcoma; Malignant neoplasm of stomach; Carcinogenesis; Malignant neoplasm of esophagus; Malignant neoplasm of ovary; Epithelial ovarian cancer,0.0034602840073026; 0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149002095788623; 0.0149002095788623; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0155921563748247; 0.0182265588252201; 0.0182265588252201; 0.0182265588252201; 0.0191435238361999; 0.0191435238361999; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991; 0.0248454592431097; 0.0277695594716545; 0.0387439397151409,,,Unverricht-Lundborg disease ORPHA:308; Acute inflammatory demyelinating polyradiculoneuropathy ORPHA:98916; Charcot-Marie-Tooth disease type 1A ORPHA:101081; Charcot-Marie-Tooth disease type 1E ORPHA:90658; Familial multiple nevi flammei ORPHA:624; Hereditary neuropathy with liability to pressure palsies ORPHA:640; RIN2 syndrome ORPHA:217335; Sturge-Weber syndrome ORPHA:3205,0.0083744975290613; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883,,,Homo sapiens HEK293 embryonic kidney cell,0.4,Homo sapiens,Homo sapiens
TNFSF9,Colorectal Carcinoma; Ovarian Carcinoma; Colorectal Cancer; Adenocarcinoma; Malignant neoplasm of stomach; Epithelial ovarian cancer,0.0034602840073026; 0.0034602840073026; 0.0149315928814189; 0.0155921563748247; 0.0191435238361999; 0.0387439397151409,,,,,,,Homo sapiens A549 lung carcinoma cell,0.35,Human SARS coronavirus;SARS-CoV-2,Homo sapiens
TPM4,Invasive Ductal Breast Carcinoma; Esophageal Neoplasms; Malignant neoplasm of breast; Malignant neoplasm of esophagus,0.0149002095788623; 0.0182265588252201; 0.0191435238361999; 0.0248454592431097,Esophagus Neoplasm; Breast Cancer,0.0102679590519094; 0.0402286636010764,Congenital short bowel syndrome ORPHA:2301; Congenital plasminogen activator inhibitor type 1 deficiency ORPHA:465,0.0083045131203191; 0.0180064224283883,,,In vitro;yeasx,0.35;0.49,Homo sapiens;chemical synthesis,Homo sapiens;hcvjf
TRAK2,Breast Carcinoma,0.0042545616049287,Breast Carcinoma,0.0075861267486594,,,,,yeasx,0.37,Homo sapiens,Yersinia pestis
TRIB3,Colorectal Carcinoma; Mammary Neoplasms; Breast Carcinoma; Colorectal Cancer; Stomach Carcinoma; Malignant neoplasm of breast; Malignant neoplasm of stomach; Carcinogenesis,0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0149315928814189; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991,,,,,,,yeasx,0.56,Homo sapiens,Homo sapiens
TSC22D1,"Mammary Neoplasms; Carcinogenesis; Carcinoma, Spindle-Cell",0.0034602840073026; 0.0228075668512991; 0.0308703957553632,Anaplastic Carcinoma,0.0402286636010764,Familial multiple nevi flammei ORPHA:624; Resistance to thyroid hormone due to a mutation in thyroid hormone receptor beta ORPHA:566243; Sturge-Weber syndrome ORPHA:3205,0.0180064224283883; 0.0180064224283883; 0.0180064224283883,,,Homo sapiens HEK293 embryonic kidney cell;Homo sapiens HEK293flp-in T-REX embryonic kidney cell;In vitro;Saccharomyces cerevisiae;yeasx,0.4;0.46;0.55,Homo sapiens,Homo sapiens
UQCC1,Malignant neoplasm of breast,0.0191435238361999,Breast Cancer,0.0402286636010764,,,,,Homo sapiens HEK293T embryonic kidney cell;Homo sapiens HEK293flp-in embryonic kidney cell,0.27;0.35,Human SARS coronavirus;cioin,Homo sapiens
VGLL3,Ovarian Carcinoma; Breast Carcinoma; Carcinogenesis; Malignant neoplasm of ovary; Epithelial ovarian cancer,0.0034602840073026; 0.0042545616049287; 0.0228075668512991; 0.0277695594716545; 0.0387439397151409,Breast Carcinoma,0.0075861267486594,Congenital short bowel syndrome ORPHA:2301,0.0083045131203191,,,Homo sapiens HEK293T embryonic kidney cell;yeasx,0.56;0.6,Homo sapiens,Homo sapiens
WNT16,Mammary Neoplasms; Colorectal Cancer,0.0034602840073026; 0.0149315928814189,,,,,,,,,,
WNT9A,Mammary Neoplasms,0.0034602840073026,,,SIX2-related frontonasal dysplasia ORPHA:488437,0.00518481975049,,,,,,
ZBED2,,,,,Odonto-onycho-dermal dysplasia ORPHA:2721; Schopf-Schulz-Passarge syndrome ORPHA:50944,0.0180064224283883; 0.0180064224283883,,,,,,
ZBTB18,Medulloblastoma,0.0354767239335874,,,,,,,Homo sapiens SNB-19 glioblastoma cell;Homo sapiens glioblastoma,0.35;0.4;0.53,Homo sapiens,Homo sapiens
ZCCHC12,,,Esophagus Neoplasm,0.0102679590519094,,,,,,,,
ZNF703,Mammary Neoplasms; Breast Carcinoma; Malignant neoplasm of breast,0.0034602840073026; 0.0042545616049287; 0.0191435238361999,,,"Craniosynostosis, Boston type ORPHA:1541; Parietal foramina with clavicular hypoplasia ORPHA:251290",0.0180064224283883; 0.0180064224283883,,,Homo sapiens HEK293T embryonic kidney cell,0.35,Homo sapiens,Homo sapiens
